term,explicit
😍,1
💞,1
💕,1
💓,1
💗,1
💖,1
💘,1
📁,0
📂,0
🗂️,0
🗃️,0
🖥️,0
🧑‍💻,0
🧮,0
📌,0
📍,0
🕒,0
sensuality,1
provocation,1
eroticism,1
intimateness,1
temptress,1
heartthrob,1
desirous,1
fascination,1
attendance register,0
mark sheet,0
grade point,0
knowledge,0
skillset,0
practice,0
training,0
evaluation report,0
learning curve,0
seductive tone,1
intimate vibe,1
romantic spark,1
mutual desire,1
physical attraction,1
close contact,1
soft touches,1
lingering looks,1
private space,1
shared intimacy,1
slow burn,1
warm embrace,1
hidden desires,1
romantic pull,1
sensory pleasure,1
emotional chemistry,1
sensual appeal,1
romantic closeness,1
desireful,1
tempted,1
class schedule,0
exam timetable,0
course registration,0
credit system,0
academic calendar,0
learning plan,0
study materials,0
reference book,0
lecture slides,0
course handbook,0
student portal,0
faculty meeting,0
project planning,0
progress report,0
status update,0
weekly review,0
task allocation,0
time management,0
goal setting,0
performance review,0
🥰,1
🤍,1
💝,1
💥,1
💢,1
📘,0
📙,0
📕,0
📒,0
🗓️,0
s3x,1
$ex,1
SEX,1
Sex,1
bedroom eyes,1
palming,1
getting wet,1
you are so wet,1
jerking,1
jerk off,1
erection,1
boner,1
morning wood,1
wet dream,1
disgusting,1
dang,1
dang it,1
bang you,1
piss off,1
fug,1
dafug,1
fok,1
fuk,1
fuckin,1
fucking,1
hoe,1
Cuckhold,1
hoe's,1
sucks,1
sexist,1
womanizer,1
addict,1
shame on us,1
you are shameless,1
characterless,1
nonsense,1
idiotic,1
fantastic,0
impressive,0
amazing,0
excellent,0
brilliant,0
terrible,1
you are trash,1
fun,0
you are a fool,1
crap,1
smoking hot,1
f@ck,1
f.u.c.k,1
may be you should die,1
you are better dead,1
temper,0
horny,1
aroused,1
iam high,1
wanna do drugs,1
drugs,1
pornstar,1
cocky,1
looser,1
dumb,1
bitchy,1
bitching,1
bitching,1
bitch face,1
